Tiempoinicio,col1,col2,col3,col4,col5,col6,col7,col8
2015-10-06 00:11:40,-1.0,1.06,0.75,2.11,-1.0,-2.26,0.76,-0.03
2015-10-06 00:11:50,-1.0,1.04,0.75,2.45,-1.0,-2.18,0.78,-0.07
2015-10-06 00:12:00,-1.0,1.03,0.8,2.67,-1.0,-2.08,0.82,-0.16
2015-10-06 00:12:10,-1.0,1.04,0.82,2.46,-1.0,-2.04,0.82,-0.13
2015-10-06 00:12:20,-1.0,1.02,0.83,2.53,-1.0,-1.91,0.84,-0.04
2015-10-06 00:12:30,-1.0,1.03,0.85,2.41,-1.0,-1.9,0.87,-0.31
2015-10-06 00:12:40,-1.0,1.01,0.85,2.23,-1.0,-1.84,0.9,-0.3
2015-10-06 00:12:50,-1.0,1.03,0.88,2.12,-1.0,-1.79,0.89,-0.21
2015-10-06 00:13:00,-1.0,1.0,0.91,1.57,-1.0,-1.7,0.9,-0.34
2015-10-06 00:13:10,-1.0,1.0,0.91,1.91,-0.9,-1.61,0.96,-0.36
2015-10-06 00:13:20,-1.0,1.01,0.91,1.63,-1.0,-1.48,0.94,-0.52
2015-10-06 00:13:30,-1.0,0.97,0.95,1.06,-1.1,-1.37,0.92,-0.39
2015-10-06 00:13:40,-1.0,0.98,0.96,1.18,-1.0,-1.42,0.93,-0.48
2015-10-06 00:13:50,-1.0,1.01,0.94,1.35,-1.0,-1.3,0.96,-0.49
2015-10-06 00:14:00,-1.0,1.01,0.97,1.47,-1.0,-1.31,0.96,-0.6
2015-10-06 00:14:10,-1.0,1.02,0.98,0.82,-1.0,-1.17,0.98,-0.65
2015-10-06 00:14:20,-1.0,1.0,1.0,0.54,-1.0,-1.1,0.99,-0.65
2015-10-06 00:14:30,-1.0,1.01,0.97,0.17,-1.0,-1.06,1.0,-0.58
2015-10-06 00:14:40,-1.0,1.0,0.99,0.27,-1.0,-0.9,0.97,-0.68
2015-10-06 00:14:50,-1.0,1.03,1.02,0.38,-1.0,-0.81,1.0,-0.73
2015-10-06 00:15:00,-1.0,1.02,1.01,-0.17,-0.9,-0.79,1.01,-0.72
2015-10-06 00:15:10,-1.0,1.01,1.0,-1.02,-1.0,-0.68,1.0,-0.82
2015-10-06 00:15:20,-1.0,1.02,0.99,-0.24,-0.9,-0.62,1.01,-0.96
2015-10-06 00:15:30,-1.0,1.04,1.02,-0.76,-1.0,-0.51,1.02,-1.02
2015-10-06 00:15:40,-1.0,1.04,1.01,-1.23,-1.0,-0.46,1.02,-1.07
2015-10-06 00:15:50,-1.0,1.07,0.99,-1.37,-1.0,-0.37,0.97,-1.1
2015-10-06 00:16:00,-1.0,1.05,0.98,-1.64,-1.0,-0.34,0.99,-0.99
2015-10-06 00:16:10,-1.0,1.07,0.97,-1.96,-1.0,-0.26,0.99,-1.19
2015-10-06 00:16:20,-1.0,1.08,0.99,-1.89,-1.0,-0.11,1.01,-1.26
2015-10-06 00:16:30,-1.0,1.06,0.94,-2.0,-0.9,-0.06,0.96,-1.27
2015-10-06 00:16:40,-1.0,1.1,0.94,-1.99,-0.9,-0.02,0.95,-1.28
2015-10-06 00:16:50,-1.0,1.12,0.93,-2.18,-0.9,0.12,0.97,-1.4
2015-10-06 00:17:00,-1.0,1.1,0.94,-2.43,-1.0,0.19,0.94,-1.34
2015-10-06 00:17:10,-1.0,1.13,0.91,-3.03,-0.9,0.26,0.9,-1.38
2015-10-06 00:17:20,-1.0,1.18,0.89,-3.14,-0.9,0.34,0.89,-1.47
2015-10-06 00:17:30,-1.0,1.17,0.88,-3.08,-0.9,0.46,0.89,-1.54
2015-10-06 00:17:40,-1.0,1.19,0.87,-3.13,-1.0,0.5,0.88,-1.6
2015-10-06 00:17:50,-1.0,1.16,0.86,-3.34,-0.9,0.6,0.83,-1.57
2015-10-06 00:18:00,-1.0,1.2,0.81,-3.3,-0.9,0.63,0.82,-1.72
2015-10-06 00:18:10,-1.0,1.24,0.81,-3.82,-0.9,0.77,0.82,-1.5
2015-10-06 00:18:20,-1.0,1.26,0.77,-4.35,-0.8,0.73,0.81,-1.81
2015-10-06 00:18:30,-1.0,1.28,0.79,-3.78,-0.9,0.88,0.76,-1.78
2015-10-06 00:18:40,-1.0,1.28,0.74,-4.23,-0.9,0.92,0.75,-1.83
2015-10-06 00:18:50,-1.0,1.31,0.71,-4.29,-0.8,0.96,0.71,-1.82
2015-10-06 00:19:00,-1.0,1.32,0.7,-4.28,-0.8,1.08,0.69,-1.95
2015-10-06 00:19:10,-1.0,1.35,0.69,-4.57,-0.8,1.19,0.66,-1.91
2015-10-06 00:19:20,-1.0,1.34,0.63,-4.48,-0.8,1.27,0.66,-1.94
2015-10-06 00:19:30,-1.0,1.37,0.61,-4.65,-0.8,1.37,0.59,-1.98
2015-10-06 00:19:40,-1.0,1.4,0.57,-4.44,-0.8,1.44,0.58,-2.02
2015-10-06 00:19:50,-1.0,1.44,0.55,-4.62,-0.8,1.54,0.59,-2.03
2015-10-06 00:20:00,-1.0,1.46,0.54,-5.05,-0.8,1.57,0.56,-1.92
2015-10-06 00:20:10,-1.0,1.47,0.5,-5.24,-0.7,1.64,0.51,-2.07
2015-10-06 00:20:20,-1.0,1.52,0.46,-4.86,-0.7,1.7,0.49,-1.96
2015-10-06 00:20:30,-1.0,1.53,0.44,-5.41,-0.8,1.77,0.44,-1.92
2015-10-06 00:20:40,-1.0,1.56,0.43,-5.31,-0.7,1.81,0.4,-1.96
2015-10-06 00:20:50,-1.0,1.6,0.37,-5.47,-0.7,1.97,0.38,-1.89
2015-10-06 00:21:00,-1.0,1.61,0.32,-5.23,-0.7,2.05,0.37,-2.03
2015-10-06 00:21:10,-1.0,1.66,0.31,-4.57,-0.7,2.08,0.31,-1.89
2015-10-06 00:21:20,-1.0,1.69,0.26,-5.0,-0.7,2.2,0.28,-2.0
2015-10-06 00:21:30,-1.0,1.7,0.26,-4.9,-0.6,2.23,0.26,-1.94
2015-10-06 00:21:40,-1.0,1.72,0.2,-4.8,-0.7,2.25,0.23,-1.96
2015-10-06 00:21:50,-1.0,1.75,0.16,-4.78,-0.7,2.32,0.17,-1.91
2015-10-06 00:22:00,-1.0,1.79,0.13,-4.8,-0.6,2.41,0.14,-1.92
2015-10-06 00:22:10,-1.0,1.84,0.14,-4.92,-0.6,2.44,0.12,-1.88
2015-10-06 00:22:20,-1.0,1.84,0.08,-4.69,-0.6,2.58,0.1,-1.95
2015-10-06 00:22:30,-1.0,1.88,0.03,-4.75,-0.5,2.67,0.05,-1.87
2015-10-06 00:22:40,-1.0,1.93,-0.02,-4.75,-0.6,2.65,0.0,-1.86
2015-10-06 00:22:50,-1.0,1.96,-0.02,-4.04,-0.5,2.74,-0.03,-1.8
2015-10-06 00:23:00,-1.0,1.98,-0.06,-4.02,-0.5,2.84,-0.05,-1.71
2015-10-06 00:23:10,-1.0,1.99,-0.08,-3.94,-0.5,2.89,-0.09,-1.81
2015-10-06 00:23:20,-0.0,2.05,-0.14,-4.02,-0.5,2.94,-0.11,-1.82
2015-10-06 00:23:30,-1.0,2.08,-0.15,-3.75,-0.5,3.01,-0.17,-1.64
2015-10-06 00:23:40,-0.0,2.1,-0.2,-3.09,-0.5,3.11,-0.2,-1.67
2015-10-06 00:23:50,-0.0,2.13,-0.28,-3.43,-0.5,3.1,-0.23,-1.56
2015-10-06 00:24:00,-0.0,2.19,-0.25,-3.94,-0.4,3.18,-0.28,-1.61
2015-10-06 00:24:10,-0.0,2.22,-0.31,-3.02,-0.4,3.28,-0.27,-1.57
2015-10-06 00:24:20,-0.0,2.24,-0.35,-2.78,-0.4,3.32,-0.32,-1.45
2015-10-06 00:24:30,-0.0,2.29,-0.36,-2.75,-0.4,3.31,-0.35,-1.67
2015-10-06 00:24:40,-0.0,2.31,-0.42,-2.7,-0.4,3.49,-0.4,-1.39
2015-10-06 00:24:50,-0.0,2.39,-0.43,-2.1,-0.4,3.51,-0.44,-1.44
2015-10-06 00:25:00,-0.0,2.4,-0.47,-1.99,-0.3,3.55,-0.46,-1.33
2015-10-06 00:25:10,-0.0,2.4,-0.48,-2.18,-0.3,3.64,-0.49,-1.23
2015-10-06 00:25:20,-0.0,2.46,-0.52,-1.99,-0.2,3.66,-0.51,-1.1
2015-10-06 00:25:30,-0.0,2.49,-0.54,-2.02,-0.3,3.72,-0.55,-1.2
2015-10-06 00:25:40,-0.0,2.55,-0.6,-1.3,-0.2,3.76,-0.55,-1.15
2015-10-06 00:25:50,-0.0,2.59,-0.61,-1.14,-0.2,3.85,-0.59,-1.13
2015-10-06 00:26:00,-0.0,2.59,-0.65,-1.26,-0.2,3.84,-0.63,-1.08
2015-10-06 00:26:10,-0.0,2.66,-0.67,-0.84,-0.2,3.89,-0.65,-1.05
2015-10-06 00:26:20,-0.0,2.69,-0.7,-0.51,-0.2,3.98,-0.7,-0.86
2015-10-06 00:26:30,-0.0,2.72,-0.7,-0.37,-0.1,4.0,-0.72,-0.85
2015-10-06 00:26:40,-0.0,2.73,-0.74,-0.86,-0.2,4.04,-0.72,-0.91
2015-10-06 00:26:50,-0.0,2.77,-0.76,0.39,-0.1,4.13,-0.76,-0.84
2015-10-06 00:27:00,-0.0,2.85,-0.76,0.04,-0.0,4.17,-0.78,-0.62
2015-10-06 00:27:10,-0.0,2.88,-0.8,0.52,-0.1,4.18,-0.82,-0.68
2015-10-06 00:27:20,-0.0,2.9,-0.82,0.39,-0.1,4.24,-0.81,-0.6
2015-10-06 00:27:30,-0.0,2.94,-0.81,0.9,-0.0,4.32,-0.84,-0.69
2015-10-06 00:27:40,-0.0,2.98,-0.86,0.36,-0.0,4.27,-0.85,-0.57
2015-10-06 00:27:50,-0.0,2.99,-0.88,1.09,0.0,4.34,-0.9,-0.41
2015-10-06 00:28:00,0.0,3.04,-0.92,1.35,0.0,4.47,-0.89,-0.34
2015-10-06 00:28:10,0.0,3.09,-0.91,1.42,0.0,4.42,-0.92,-0.36
2015-10-06 00:28:20,0.0,3.15,-0.93,2.06,0.1,4.47,-0.9,-0.36
2015-10-06 00:28:30,0.0,3.13,-0.92,1.72,0.1,4.47,-0.91,-0.4
2015-10-06 00:28:40,0.0,3.22,-0.94,1.74,0.1,4.47,-0.95,-0.34
2015-10-06 00:28:50,0.0,3.25,-0.96,2.13,0.2,4.54,-0.96,-0.32
2015-10-06 00:29:00,0.0,3.29,-0.99,2.07,0.1,4.58,-0.96,-0.24
2015-10-06 00:29:10,0.0,3.34,-0.97,2.25,0.1,4.6,-0.98,-0.23
2015-10-06 00:29:20,0.0,3.37,-0.98,2.05,0.2,4.69,-0.99,-0.22
2015-10-06 00:29:30,0.0,3.41,-0.97,2.1,0.2,4.66,-1.0,-0.11
2015-10-06 00:29:40,0.0,3.42,-0.99,2.36,0.2,4.73,-0.97,-0.12
2015-10-06 00:29:50,0.0,3.46,-1.0,2.82,0.2,4.66,-1.02,-0.14
2015-10-06 00:30:00,0.0,3.53,-1.0,2.94,0.2,4.78,-1.0,-0.21
2015-10-06 00:30:10,0.0,3.54,-1.0,2.95,0.3,4.85,-0.98,-0.03
2015-10-06 00:30:20,0.0,3.58,-1.02,2.9,0.3,4.83,-1.01,-0.07
2015-10-06 00:30:30,0.0,3.62,-1.0,3.03,0.3,4.78,-1.0,0.06
2015-10-06 00:30:40,0.0,3.64,-1.01,2.98,0.3,4.91,-1.0,0.06
2015-10-06 00:30:50,0.0,3.68,-1.01,2.64,0.3,4.87,-0.98,0.04
2015-10-06 00:31:00,0.0,3.73,-0.97,3.25,0.3,4.88,-0.99,0.0
2015-10-06 00:31:10,0.0,3.77,-0.97,2.69,0.4,4.92,-0.97,0.06
2015-10-06 00:31:20,0.0,3.79,-0.96,2.61,0.4,4.94,-0.99,-0.04
2015-10-06 00:31:30,0.0,3.81,-0.97,3.33,0.4,4.97,-0.97,-0.05
2015-10-06 00:31:40,0.0,3.86,-0.97,2.73,0.4,4.89,-0.98,-0.12
2015-10-06 00:31:50,0.0,3.88,-0.94,2.97,0.5,4.94,-0.98,0.05
2015-10-06 00:32:00,0.0,3.93,-0.93,2.79,0.4,4.99,-0.93,0.07
2015-10-06 00:32:10,1.0,3.97,-0.91,2.79,0.5,4.99,-0.92,-0.05
2015-10-06 00:32:20,0.0,3.99,-0.9,2.96,0.4,4.92,-0.9,-0.05
2015-10-06 00:32:30,1.0,4.03,-0.88,2.31,0.5,4.95,-0.88,-0.19
2015-10-06 00:32:40,1.0,4.04,-0.91,2.5,0.6,5.03,-0.91,-0.0
2015-10-06 00:32:50,1.0,4.09,-0.85,2.51,0.6,5.03,-0.86,-0.16
2015-10-06 00:33:00,1.0,4.12,-0.86,2.5,0.6,4.97,-0.85,-0.09
2015-10-06 00:33:10,1.0,4.15,-0.84,2.49,0.5,4.97,-0.84,-0.09
2015-10-06 00:33:20,1.0,4.19,-0.82,2.11,0.6,5.01,-0.79,-0.06
2015-10-06 00:33:30,1.0,4.19,-0.79,1.91,0.6,4.97,-0.78,-0.24
2015-10-06 00:33:40,1.0,4.24,-0.75,1.83,0.7,5.03,-0.75,-0.22
2015-10-06 00:33:50,1.0,4.29,-0.75,1.78,0.6,5.02,-0.75,-0.3
2015-10-06 00:34:00,1.0,4.27,-0.7,1.73,0.6,4.92,-0.71,-0.19
2015-10-06 00:34:10,1.0,4.32,-0.7,1.19,0.6,4.94,-0.66,-0.33
2015-10-06 00:34:20,1.0,4.36,-0.67,1.35,0.7,4.97,-0.68,-0.44
2015-10-06 00:34:30,1.0,4.38,-0.66,1.4,0.7,5.05,-0.64,-0.4
2015-10-06 00:34:40,1.0,4.4,-0.63,1.63,0.7,4.96,-0.6,-0.42
2015-10-06 00:34:50,1.0,4.43,-0.58,0.9,0.7,4.93,-0.61,-0.51
2015-10-06 00:35:00,1.0,4.48,-0.57,0.51,0.8,4.95,-0.57,-0.58
2015-10-06 00:35:10,1.0,4.49,-0.54,0.49,0.8,4.9,-0.52,-0.69
2015-10-06 00:35:20,1.0,4.49,-0.47,0.17,0.7,4.89,-0.5,-0.65
2015-10-06 00:35:30,1.0,4.55,-0.45,0.01,0.8,4.86,-0.47,-0.77
2015-10-06 00:35:40,1.0,4.57,-0.44,-0.35,0.8,4.96,-0.44,-0.68
2015-10-06 00:35:50,1.0,4.6,-0.4,-0.66,0.8,4.85,-0.42,-0.86
2015-10-06 00:36:00,1.0,4.6,-0.39,-0.58,0.8,4.8,-0.39,-0.85
2015-10-06 00:36:10,1.0,4.61,-0.33,-0.76,0.8,4.82,-0.36,-0.86
2015-10-06 00:36:20,1.0,4.66,-0.31,-0.76,0.9,4.78,-0.31,-0.99
2015-10-06 00:36:30,1.0,4.67,-0.27,-0.89,0.8,4.76,-0.29,-1.11
2015-10-06 00:36:40,1.0,4.7,-0.24,-1.01,0.9,4.76,-0.24,-1.17
2015-10-06 00:36:50,1.0,4.72,-0.21,-1.82,0.8,4.72,-0.21,-1.07
2015-10-06 00:37:00,1.0,4.75,-0.17,-1.59,0.9,4.65,-0.17,-1.04
2015-10-06 00:37:10,1.0,4.76,-0.13,-1.47,0.9,4.65,-0.15,-1.22
2015-10-06 00:37:20,1.0,4.78,-0.13,-2.06,0.9,4.7,-0.12,-1.28
2015-10-06 00:37:30,1.0,4.81,-0.08,-2.21,0.9,4.61,-0.06,-1.29
2015-10-06 00:37:40,1.0,4.79,-0.04,-2.68,0.8,4.61,-0.02,-1.25
2015-10-06 00:37:50,1.0,4.82,-0.01,-2.28,0.9,4.54,0.02,-1.34
2015-10-06 00:38:00,1.0,4.85,0.02,-3.3,0.9,4.48,0.04,-1.4
2015-10-06 00:38:10,1.0,4.85,0.07,-3.01,0.9,4.49,0.05,-1.52
2015-10-06 00:38:20,1.0,4.86,0.08,-3.28,0.9,4.48,0.11,-1.62
2015-10-06 00:38:30,1.0,4.86,0.14,-3.21,0.9,4.43,0.13,-1.5
2015-10-06 00:38:40,1.0,4.86,0.17,-3.77,1.0,4.35,0.18,-1.66
2015-10-06 00:38:50,1.0,4.91,0.22,-3.48,1.0,4.39,0.23,-1.68
2015-10-06 00:39:00,1.0,4.93,0.24,-3.56,1.0,4.3,0.25,-1.76
2015-10-06 00:39:10,1.0,4.91,0.27,-4.46,1.0,4.24,0.26,-1.8
2015-10-06 00:39:20,1.0,4.92,0.31,-4.21,1.0,4.29,0.31,-1.75
2015-10-06 00:39:30,1.0,4.92,0.32,-4.74,1.0,4.19,0.35,-1.82
2015-10-06 00:39:40,1.0,4.96,0.38,-3.8,1.0,4.09,0.35,-1.89
2015-10-06 00:39:50,1.0,4.94,0.39,-4.34,1.0,4.12,0.39,-1.82
2015-10-06 00:40:00,1.0,4.96,0.4,-4.87,1.0,3.98,0.42,-1.92
2015-10-06 00:40:10,1.0,4.96,0.47,-4.65,1.0,3.95,0.47,-1.95
2015-10-06 00:40:20,1.0,4.97,0.53,-4.84,1.0,4.01,0.49,-1.89
2015-10-06 00:40:30,1.0,4.98,0.52,-4.58,0.9,3.99,0.5,-2.03
2015-10-06 00:40:40,1.0,4.99,0.56,-4.99,1.0,3.86,0.53,-1.94
2015-10-06 00:40:50,1.0,4.99,0.58,-5.46,1.0,3.82,0.55,-1.98
2015-10-06 00:41:00,1.0,5.0,0.63,-4.64,1.0,3.73,0.59,-2.03
2015-10-06 00:41:10,1.0,5.0,0.63,-4.91,1.0,3.75,0.63,-1.97
2015-10-06 00:41:20,1.0,5.02,0.66,-5.29,1.0,3.66,0.65,-1.99
2015-10-06 00:41:30,1.0,5.0,0.69,-5.21,1.0,3.58,0.68,-1.94
2015-10-06 00:41:40,1.0,4.98,0.68,-4.81,1.0,3.48,0.71,-2.03
2015-10-06 00:41:50,1.0,5.04,0.74,-4.91,0.9,3.46,0.69,-2.01
2015-10-06 00:42:00,1.0,4.98,0.72,-5.06,1.0,3.41,0.76,-2.0
2015-10-06 00:42:10,1.0,5.0,0.78,-5.0,1.0,3.36,0.79,-2.0
2015-10-06 00:42:20,1.0,4.98,0.78,-4.93,1.0,3.3,0.83,-1.85
2015-10-06 00:42:30,1.0,4.99,0.81,-4.89,1.0,3.24,0.86,-1.95
2015-10-06 00:42:40,1.0,4.99,0.84,-4.83,1.0,3.13,0.84,-1.95
2015-10-06 00:42:50,1.0,4.99,0.84,-4.81,1.0,3.17,0.88,-1.92
2015-10-06 00:43:00,1.0,4.97,0.87,-4.34,1.0,3.05,0.87,-1.91
2015-10-06 00:43:10,1.0,4.95,0.89,-4.87,1.0,2.97,0.88,-1.95
2015-10-06 00:43:20,1.0,4.98,0.9,-4.32,1.0,2.89,0.92,-1.83
2015-10-06 00:43:30,1.0,4.98,0.92,-4.32,1.0,2.95,0.93,-1.89
2015-10-06 00:43:40,1.0,4.95,0.94,-3.77,0.9,2.82,0.94,-1.82
2015-10-06 00:43:50,1.0,4.95,0.95,-4.36,1.0,2.78,0.96,-1.83
2015-10-06 00:44:00,1.0,4.93,0.97,-4.1,1.0,2.65,0.97,-1.75
2015-10-06 00:44:10,1.0,4.92,0.97,-4.01,1.0,2.57,0.95,-1.72
2015-10-06 00:44:20,1.0,4.89,0.97,-3.83,1.0,2.52,0.97,-1.6
2015-10-06 00:44:30,1.0,4.9,0.98,-3.46,1.0,2.5,0.99,-1.62
2015-10-06 00:44:40,1.0,4.89,0.99,-3.3,0.9,2.4,1.0,-1.62
2015-10-06 00:44:50,1.0,4.87,0.98,-2.95,0.9,2.34,1.0,-1.66
2015-10-06 00:45:00,1.0,4.85,0.99,-3.14,1.0,2.3,1.02,-1.53
2015-10-06 00:45:10,1.0,4.84,1.01,-2.71,0.9,2.18,1.0,-1.58
2015-10-06 00:45:20,1.0,4.83,1.0,-2.97,0.9,2.1,0.99,-1.39
2015-10-06 00:45:30,1.0,4.81,1.01,-2.06,0.9,2.05,1.0,-1.39
2015-10-06 00:45:40,1.0,4.78,1.03,-2.39,0.9,1.97,1.01,-1.37
2015-10-06 00:45:50,1.0,4.76,0.98,-2.22,0.8,1.89,1.02,-1.32
2015-10-06 00:46:00,1.0,4.72,1.0,-2.02,0.9,1.85,0.98,-1.25
2015-10-06 00:46:10,1.0,4.72,0.98,-1.69,0.9,1.8,1.01,-1.19
2015-10-06 00:46:20,1.0,4.75,0.98,-1.87,0.8,1.67,1.0,-1.09
2015-10-06 00:46:30,1.0,4.69,0.97,-0.88,0.9,1.57,0.99,-1.04
2015-10-06 00:46:40,1.0,4.7,0.96,-1.49,0.8,1.56,0.99,-1.08
2015-10-06 00:46:50,1.0,4.65,0.93,-1.16,0.9,1.43,0.96,-1.12
2015-10-06 00:47:00,1.0,4.64,0.93,-0.98,0.9,1.41,0.94,-0.87
